timestamp,gateway_address,schedule_id,connected_nodes,tx_total,rx_total,tx_rate_1s,rx_rate_1s,avg_latency_ms
2025-09-05T18:01:04.041629,0x24374C76B5CF8604,6,10,0,0,0,0,40.64
2025-09-05T18:01:06.165981,0x24374C76B5CF8604,6,10,0,0,0,0,39.12
2025-09-05T18:01:08.313838,0x24374C76B5CF8604,6,10,0,0,0,0,39.60
2025-09-05T18:01:10.321987,0x24374C76B5CF8604,6,10,0,0,0,0,37.99
2025-09-05T18:01:12.434959,0x24374C76B5CF8604,6,10,0,0,0,0,35.17
2025-09-05T18:01:14.577120,0x24374C76B5CF8604,6,10,0,0,0,0,36.86
2025-09-05T18:01:16.685370,0x24374C76B5CF8604,6,10,0,0,0,0,37.21
2025-09-05T18:01:18.810277,0x24374C76B5CF8604,6,10,0,0,0,0,40.14
2025-09-05T18:01:20.906091,0x24374C76B5CF8604,6,10,0,0,0,0,40.86
2025-09-05T18:01:23.036092,0x24374C76B5CF8604,6,10,0,0,0,0,40.20
2025-09-05T18:01:25.069533,0x24374C76B5CF8604,6,10,0,0,0,0,38.44
2025-09-05T18:01:27.187093,0x24374C76B5CF8604,6,10,0,0,0,0,37.70
2025-09-05T18:01:29.338321,0x24374C76B5CF8604,6,10,0,0,0,0,32.87
2025-09-05T18:01:31.355061,0x24374C76B5CF8604,6,10,0,0,0,0,31.82
2025-09-05T18:01:33.391903,0x24374C76B5CF8604,6,10,0,0,0,0,35.14
2025-09-05T18:01:35.521137,0x24374C76B5CF8604,6,10,0,0,0,0,37.19
2025-09-05T18:01:37.680381,0x24374C76B5CF8604,6,10,0,0,0,0,39.06
2025-09-05T18:01:39.788810,0x24374C76B5CF8604,6,10,0,0,0,0,40.62
2025-09-05T18:01:41.917672,0x24374C76B5CF8604,6,10,0,0,0,0,40.18
2025-09-05T18:01:44.024330,0x24374C76B5CF8604,6,10,0,0,0,0,37.50
2025-09-05T18:01:46.158965,0x24374C76B5CF8604,6,10,0,0,0,0,36.67
2025-09-05T18:01:48.189405,0x24374C76B5CF8604,6,10,0,0,0,0,36.41
2025-09-05T18:01:50.294388,0x24374C76B5CF8604,6,10,0,0,0,0,35.13
2025-09-05T18:01:52.441888,0x24374C76B5CF8604,6,10,0,0,0,0,34.50
2025-09-05T18:01:54.459825,0x24374C76B5CF8604,6,10,0,0,0,0,35.17
2025-09-05T18:01:56.495155,0x24374C76B5CF8604,6,10,0,0,0,0,35.98
2025-09-05T18:01:58.603056,0x24374C76B5CF8604,6,10,0,0,0,0,36.20
2025-09-05T18:02:00.751569,0x24374C76B5CF8604,6,10,0,0,0,0,35.80
2025-09-05T18:02:02.782469,0x24374C76B5CF8604,6,10,0,0,0,0,37.19
2025-09-05T18:02:04.802404,0x24374C76B5CF8604,6,10,0,0,0,0,38.79
2025-09-05T18:02:06.909065,0x24374C76B5CF8604,6,10,0,0,0,0,38.52
2025-09-05T18:02:08.940415,0x24374C76B5CF8604,6,10,0,0,0,0,38.87
2025-09-05T18:02:11.068633,0x24374C76B5CF8604,6,10,0,0,0,0,38.18
2025-09-05T18:02:13.184006,0x24374C76B5CF8604,6,10,0,0,0,0,36.71
2025-09-05T18:02:15.336077,0x24374C76B5CF8604,6,10,0,0,0,0,36.25
2025-09-05T18:02:17.354312,0x24374C76B5CF8604,6,10,0,0,0,0,35.99
2025-09-05T18:02:19.382143,0x24374C76B5CF8604,6,10,0,0,0,0,36.27
2025-09-05T18:02:21.410301,0x24374C76B5CF8604,6,10,0,0,0,0,36.59
2025-09-05T18:02:23.441996,0x24374C76B5CF8604,6,10,0,0,0,0,36.82
2025-09-05T18:02:25.551841,0x24374C76B5CF8604,6,10,0,0,0,0,39.59
2025-09-05T18:02:27.706130,0x24374C76B5CF8604,6,10,0,0,0,0,38.43
2025-09-05T18:02:29.815647,0x24374C76B5CF8604,6,10,0,0,0,0,38.48
2025-09-05T18:02:31.942012,0x24374C76B5CF8604,6,10,0,0,0,0,38.97
